149,0.0025,0.04
150,0.0025,0.05
151,0.0025,0.06
152,0.0025,0.08
153,0.0025,0.09
154,0.0025,0.1
155,0.0025,0.11
156,0.0025,0.08
157,0.0025,0.06
158,0.0025,0.04
159,0.0025,0.02
160,0.0025,0
161,0.0025,0.02
162,0.0025,0.04
163,0.0025,0.06
164,0.0025,0.08
165,0.0025,0.1
166,0.0025,0.12
167,0.0025,0.12
168,0.0025,0.11
169,0.0025,0.1
170,0.0025,0.08
171,0.0025,0.07
172,0.0025,0.07
173,0.0025,0.1
174,0.0025,0.14
175,0.0025,0.18
176,0.0025,0.22
177,0.0025,0.26
178,0.0025,0.3
179,0.0025,0.39
180,0.0025,0.48
181,0.0025,0.58
182,0.0025,0.67
183,0.0025,0.77
184,0.0025,0.76
185,0.0025,0.71
186,0.0025,0.66
187,0.0025,0.61
188,0.0025,0.55
189,0.0025,0.56
190,0.0025,0.6
191,0.0025,0.65
192,0.0025,0.7
193,0.0025,0.75
194,0.0025,0.79
195,0.0025,0.84
196,0.0025,0.88
197,0.0025,0.9
198,0.0025,0.92
199,0.0025,0.94
200,0.0025,0.96
201,0.0025,0.97
202,0.0025,0.94
203,0.0025,0.91
204,0.0025,0.87
205,0.0025,0.84
206,0.0025,0.81
207,0.0025,0.79
208,0.0025,0.78
209,0.0025,0.76
210,0.0025,0.74
211,0.0025,0.73
212,0.0025,0.7
213,0.0025,0.66
214,0.0025,0.62
215,0.0025,0.58
216,0.0025,0.55
217,0.0025,0.54
218,0.0025,0.57
219,0.0025,0.6
220,0.0025,0.62
221,0.0025,0.65
222,0.0025,0.68
223,0.0025,0.66
224,0.0025,0.64
225,0.0025,0.61
226,0.0025,0.59
227,0.0025,0.56
228,0.0025,0.55
229,0.0025,0.57
230,0.0025,0.58
231,0.0025,0.59
232,0.0025,0.61
233,0.0025,0.62
234,0.0025,0.63
235,0.0025,0.62
236,0.0025,0.61
237,0.0025,0.61
238,0.0025,0.6
239,0.0025,0.59
240,0.0025,0.62
241,0.0025,0.66
242,0.0025,0.7
243,0.0025,0.74
244,0.0025,0.78
245,0.0025,0.82
246,0.0025,0.86
247,0.0025,0.9
248,0.0025,0.93
249,0.0025,0.97
250,0.0025,1.01
251,0.0025,1
252,0.0025,0.99
253,0.0025,0.97
254,0.0025,0.96
255,0.0025,0.95
256,0.0025,0.95
257,0.0025,0.96
258,0.0025,0.97
259,0.0025,0.97
260,0.0025,0.98
261,0.0025,1.01
262,0.0025,1.05
263,0.0025,1.09
264,0.0025,1.14
265,0.0025,1.18
266,0.0025,1.23
267,0.0025,1.27
268,0.0025,1.31
269,0.0025,1.36
270,0.0025,1.41
271,0.0025,1.47
272,0.0025,1.52
273,0.0025,1.58
274,0.0025,1.64
275,0.0025,1.71
276,0.0025,1.81
277,0.0025,1.9
278,0.0025,2
279,0.0025,2.1
280,0.0025,2.19
281,0.0025,2.29
282,0.0025,2.31
283,0.0025,2.32
284,0.0025,2.34
285,0.0025,2.36
286,0.0025,2.37
287,0.0025,2.4
288,0.0025,2.44
289,0.0025,2.48
290,0.0025,2.51
291,0.0025,2.55
292,0.0025,2.59
293,0.0025,2.69
294,0.0025,2.79
295,0.0025,2.89
296,0.0025,2.99
297,0.0025,3.09
298,0.0025,3.08
299,0.0025,3.07
300,0.0025,3.06
301,0.0025,3.05
302,0.0025,3.04
303,0.0025,3.03
304,0.0025,3.01
305,0.0025,2.99
306,0.0025,2.97
307,0.0025,2.95
308,0.0025,2.93
309,0.0025,3
310,0.0025,3.12
311,0.0025,3.24
312,0.0025,3.36
313,0.0025,3.48
314,0.0025,3.5
315,0.0025,3.46
316,0.0025,3.41
317,0.0025,3.36
318,0.0025,3.31
319,0.0025,3.32
320,0.0025,3.37
321,0.0025,3.42
322,0.0025,3.48
323,0.0025,3.53
324,0.0025,3.58
325,0.0025,3.71
326,0.0025,3.83
327,0.0025,3.96
328,0.0025,4.09
329,0.0025,4.21
330,0.0025,4.48
331,0.0025,4.75
332,0.0025,5.03
333,0.0025,5.3
334,0.0025,5.58
335,0.0025,5.74
336,0.0025,5.87
337,0.0025,5.99
338,0.0025,6.12
339,0.0025,6.24
340,0.0025,6.33
341,0.0025,6.39
342,0.0025,6.46
343,0.0025,6.52
344,0.0025,6.59
345,0.0025,6.63
346,0.0025,6.67
347,0.0025,6.71
348,0.0025,6.75
349,0.0025,6.79
350,0.0025,6.82
351,0.0025,6.86
352,0.0025,6.88
353,0.0025,6.85
354,0.0025,6.82
355,0.0025,6.79
356,0.0025,6.75
357,0.0025,6.72
358,0.0025,6.73
359,0.0025,6.75
360,0.0025,6.78
361,0.0025,6.81
362,0.0025,6.84
363,0.0025,6.87
364,0.0025,6.9
365,0.0025,6.92
366,0.0025,6.95
367,0.0025,6.96
368,0.0025,6.94
369,0.0025,6.92
370,0.0025,6.9
371,0.0025,6.87
372,0.0025,6.85
373,0.0025,6.87
374,0.0025,6.89
375,0.0025,6.91
376,0.0025,6.93
377,0.0025,6.95
378,0.0025,7.07
379,0.0025,7.21
380,0.0025,7.35
381,0.0025,7.49
382,0.0025,7.64
383,0.0025,7.76
384,0.0025,7.86
385,0.0025,7.96
