     643  0.0025   16.64
     644  0.0025    16.7
     645  0.0025   16.74
     646  0.0025   16.79
     647  0.0025   16.83
     648  0.0025   16.88
     649  0.0025   16.92
     650  0.0025   16.97
     651  0.0025   17.01
     652  0.0025   17.06
     653  0.0025   17.11
     654  0.0025   17.15
     655  0.0025    17.2
     656  0.0025   17.23
     657  0.0025   17.27
     658  0.0025    17.3
     659  0.0025   17.33
     660  0.0025   17.37
     661  0.0025    17.4
     662  0.0025   17.44
     663  0.0025   17.48
     664  0.0025   17.53
     665  0.0025   17.57
     666  0.0025   17.61
     667  0.0025   17.65
     668  0.0025   17.69
     669  0.0025   17.73
     670  0.0025   17.76
     671  0.0025    17.8
     672  0.0025   17.84
     673  0.0025   17.88
     674  0.0025    17.9
     675  0.0025   17.93
     676  0.0025   17.96
     677  0.0025   17.98
     678  0.0025      18
     679  0.0025   17.99
     680  0.0025   17.98
     681  0.0025   17.97
     682  0.0025   18.04
     683  0.0025    18.1
     684  0.0025   18.14
     685  0.0025   18.12
     686  0.0025   18.14
     687  0.0025   18.15
     688  0.0025    18.2
     689  0.0025   18.24
     690  0.0025   18.26
     691  0.0025   18.32
     692  0.0025    18.3
     693  0.0025   18.42
     694  0.0025   18.43
     695  0.0025   18.43
     696  0.0025   18.46
     697  0.0025   18.52
     698  0.0025   18.54
     699  0.0025   18.55
     700  0.0025   18.57
     701  0.0025   18.58
     702  0.0025   18.65
     703  0.0025   18.62
     704  0.0025   18.63
     705  0.0025    18.6
     706  0.0025   18.65
     707  0.0025   18.67
     708  0.0025   18.68
     709  0.0025   18.66
     710  0.0025   18.69
     711  0.0025   18.75
     712  0.0025   18.75
     713  0.0025   18.73
     714  0.0025   18.73
     715  0.0025   18.74
     716  0.0025   18.72
     717  0.0025   18.46
     718  0.0025   18.35
     719  0.0025   18.37
     720  0.0025   18.28
     721  0.0025   18.39
     722  0.0025    18.4
     723  0.0025   18.39
     724  0.0025   18.49
     725  0.0025   18.55
     726  0.0025   18.57
     727  0.0025   18.64
     728  0.0025   18.68
     729  0.0025   18.74
     730  0.0025   18.85
     731  0.0025   19.04
     732  0.0025   19.21
     733  0.0025   19.38
     734  0.0025   19.57
     735  0.0025   19.73
     736  0.0025   19.87
     737  0.0025   20.03
     738  0.0025   20.17
     739  0.0025    20.3
     740  0.0025   20.43
     741  0.0025   20.56
     742  0.0025   20.69
     743  0.0025   20.85
